Relaxation,Carp_steps
0.025,297
0.05,290
0.075,283
0.1,276
0.125,270
0.15,263
0.175,255
0.2,248
0.225,240
0.25,231
0.275,221
0.3,214
0.325,206
0.35,199
0.375,193
0.4,188
0.425,184
0.45,182
0.475,198
0.5,213
0.525,218
0.55,226
0.575,242
0.6,252
0.625,258
0.65,268
0.675,324
0.7,305
0.725,289
0.75,310
0.775,316
0.8,334
0.825,353
0.85,372
0.875,385
0.9,423
0.925,446
0.95,490
0.975,527
1,519
1.025,763
1.05,781
1.075,605
1.1,888
1.125,696
1.15,674
1.175,657
1.2,707
1.225,705
1.25,736
1.275,852
1.3,779
1.325,707
1.35,756
1.375,769
1.4,822
1.425,835
1.45,905
1.475,844
1.5,1803
1.525,859
1.55,779
1.575,904
1.6,932
1.625,878
1.65,854
1.675,894
1.7,854
1.725,916
1.75,926
1.775,1144
1.8,957
1.825,1411
1.85,951
1.875,918
1.9,980
1.925,961
1.95,992
1.975,887
2,1298
2.025,849
2.05,939
2.075,990
2.1,937
2.125,953
2.15,1086
2.175,1040
2.2,909
2.225,937
2.25,925
2.275,1916
2.3,970
2.325,991
2.35,1002
2.375,895
2.4,916
2.425,980
2.45,957
2.475,944
2.5,934
2.525,1009
2.55,1011
2.575,1056
2.6,1037
2.625,999
2.65,1091
2.675,1043
2.7,1109
2.725,1047
2.75,998
2.775,1794
2.8,1155
2.825,1092
2.85,1198
2.875,1122
2.9,1172
2.925,1134
2.95,1201
2.975,1300
3,1237
