Relaxation,Carp_steps
0.025,1233
0.05,1204
0.075,1176
0.1,1147
0.125,1118
0.15,1087
0.175,1056
0.2,1023
0.225,990
0.25,956
0.275,919
0.3,883
0.325,850
0.35,820
0.375,793
0.4,769
0.425,746
0.45,725
0.475,706
0.5,688
0.525,725
0.55,766
0.575,959
0.6,1169
0.625,1410
0.65,3062
0.675,1964
0.7,2378
0.725,2842
0.75,3041
0.775,3190
0.8,3156
0.825,3587
0.85,4291
0.875,4160
0.9,4032
0.925,5332
0.95,5875
0.975,5653
1,6844
1.025,-1
1.05,13719
1.075,13638
1.1,12806
1.125,10253
1.15,-1
1.175,18066
1.2,12515
1.225,22371
1.25,11684
1.275,12766
1.3,15456
1.325,13185
1.35,18201
1.375,15265
1.4,10860
1.425,21344
1.45,16658
1.475,-1
1.5,11936
1.525,14487
1.55,19433
1.575,22945
1.6,-1
1.625,-1
1.65,15138
1.675,20949
1.7,-1
1.725,13815
1.75,14027
1.775,20636
1.8,13365
1.825,22028
1.85,21950
1.875,-1
1.9,-1
1.925,19141
1.95,20909
1.975,23516
2,24595
2.025,-1
2.05,22667
2.075,21751
2.1,19393
2.125,21817
2.15,14559
2.175,19264
2.2,22375
2.225,16280
2.25,-1
2.275,15399
2.3,-1
2.325,16999
2.35,-1
2.375,22861
2.4,25931
2.425,24023
2.45,20708
2.475,-1
2.5,18882
2.525,17894
2.55,34000
2.575,16600
2.6,24038
2.625,25003
2.65,21613
2.675,19143
2.7,-1
2.725,25009
2.75,29996
2.775,-1
2.8,29828
2.825,-1
2.85,-1
2.875,29520
2.9,20430
2.925,20854
2.95,16458
2.975,16319
3,24344
