Relaxation,Carp_steps
0.025,293
0.05,288
0.075,282
0.1,277
0.125,271
0.15,266
0.175,259
0.2,253
0.225,247
0.25,240
0.275,234
0.3,226
0.325,219
0.35,211
0.375,206
0.4,200
0.425,194
0.45,188
0.475,184
0.5,179
0.525,175
0.55,171
0.575,178
0.6,177
0.625,196
0.65,195
0.675,228
0.7,241
0.725,261
0.75,286
0.775,293
0.8,322
0.825,334
0.85,367
0.875,397
0.9,404
0.925,426
0.95,452
0.975,521
1,581
1.025,603
1.05,619
1.075,694
1.1,724
1.125,830
1.15,863
1.175,928
1.2,1226
1.225,911
1.25,932
1.275,955
1.3,1249
1.325,967
1.35,1021
1.375,-1
1.4,1201
1.425,987
1.45,1046
1.475,1018
1.5,1089
1.525,1642
1.55,1100
1.575,1116
1.6,1182
1.625,1181
1.65,1197
1.675,1352
1.7,1757
1.725,1285
1.75,1245
1.775,1187
1.8,1478
1.825,1295
1.85,1406
1.875,1265
1.9,1242
1.925,-1
1.95,2142
1.975,1302
2,1258
2.025,1257
2.05,1443
2.075,1335
2.1,1380
2.125,1349
2.15,1437
2.175,1420
2.2,1420
2.225,2292
2.25,2204
2.275,1460
2.3,1541
2.325,1590
2.35,1485
2.375,1620
2.4,1476
2.425,1737
2.45,1581
2.475,1563
2.5,1567
2.525,1643
2.55,1694
2.575,1808
2.6,1653
2.625,1666
2.65,1913
2.675,1720
2.7,1727
2.725,1751
2.75,-1
2.775,1885
2.8,1778
2.825,1715
2.85,1832
2.875,3301
2.9,1680
2.925,1570
2.95,1586
2.975,3078
3,1520
