Relaxation,Carp_steps
0.025,416
0.05,408
0.075,401
0.1,393
0.125,384
0.15,376
0.175,366
0.2,357
0.225,348
0.25,338
0.275,327
0.3,317
0.325,306
0.35,296
0.375,287
0.4,279
0.425,271
0.45,263
0.475,256
0.5,251
0.525,256
0.55,255
0.575,249
0.6,248
0.625,280
0.65,305
0.675,332
0.7,359
0.725,406
0.75,433
0.775,478
0.8,527
0.825,537
0.85,556
0.875,649
0.9,794
0.925,761
0.95,1105
0.975,818
1,897
1.025,999
1.05,1330
1.075,1199
1.1,1193
1.125,1117
1.15,1169
1.175,1358
1.2,1347
1.225,1561
1.25,1622
1.275,1619
1.3,1472
1.325,1431
1.35,1392
1.375,1481
1.4,1575
1.425,1985
1.45,1357
1.475,1409
1.5,1729
1.525,1647
1.55,1538
1.575,2061
1.6,1821
1.625,1540
1.65,2598
1.675,2041
1.7,1891
1.725,3043
1.75,1841
1.775,1916
1.8,2011
1.825,2249
1.85,2246
1.875,1925
1.9,1983
1.925,2130
1.95,1956
1.975,1986
2,1980
2.025,1795
2.05,1847
2.075,1929
2.1,1936
2.125,2135
2.15,2107
2.175,2032
2.2,2121
2.225,2394
2.25,2887
2.275,2100
2.3,1989
2.325,1792
2.35,1854
2.375,1983
2.4,1940
2.425,1920
2.45,1998
2.475,3389
2.5,4239
2.525,2035
2.55,2081
2.575,2092
2.6,2043
2.625,2247
2.65,3028
2.675,1995
2.7,1966
2.725,1901
2.75,1892
2.775,2114
2.8,2085
2.825,1955
2.85,1989
2.875,1969
2.9,1967
2.925,1831
2.95,2088
2.975,2205
3,2071
