Relaxation,Carp_steps
0.025,74
0.05,72
0.075,72
0.1,71
0.125,70
0.15,70
0.175,69
0.2,68
0.225,67
0.25,66
0.275,64
0.3,63
0.325,61
0.35,60
0.375,59
0.4,58
0.425,56
0.45,54
0.475,53
0.5,52
0.525,50
0.55,49
0.575,48
0.6,48
0.625,47
0.65,46
0.675,48
0.7,51
0.725,54
0.75,53
0.775,54
0.8,53
0.825,58
0.85,60
0.875,57
0.9,59
0.925,62
0.95,63
0.975,68
1,68
1.025,70
1.05,79
1.075,80
1.1,87
1.125,93
1.15,96
1.175,107
1.2,103
1.225,112
1.25,111
1.275,109
1.3,110
1.325,125
1.35,116
1.375,118
1.4,119
1.425,122
1.45,120
1.475,116
1.5,132
1.525,120
1.55,130
1.575,139
1.6,130
1.625,135
1.65,130
1.675,133
1.7,135
1.725,139
1.75,139
1.775,142
1.8,145
1.825,147
1.85,151
1.875,151
1.9,142
1.925,144
1.95,144
1.975,147
2,146
2.025,147
2.05,154
2.075,160
2.1,155
2.125,151
2.15,149
2.175,155
2.2,160
2.225,165
2.25,156
2.275,156
2.3,168
2.325,164
2.35,161
2.375,163
2.4,163
2.425,167
2.45,170
2.475,158
2.5,166
2.525,175
2.55,159
2.575,158
2.6,159
2.625,168
2.65,166
2.675,163
2.7,183
2.725,164
2.75,169
2.775,170
2.8,164
2.825,165
2.85,171
2.875,174
2.9,171
2.925,169
2.95,166
2.975,176
3,179
