Relaxation,Carp_steps
0.1,1611
0.35,1595
0.6,1578
0.85,1564
1.1,1548
1.35,1534
1.6,1519
1.85,1503
2.1,1488
2.35,1473
2.6,1457
2.85,1441
3.1,1426
3.35,1409
3.6,1393
3.85,1377
4.1,1360
4.35,1344
4.6,1327
4.85,1309
5.1,1291
5.35,1274
5.6,1256
5.85,1237
6.1,1218
6.35,1198
6.6,1179
6.85,1161
7.1,1142
7.35,1125
7.6,1107
7.85,1091
8.1,1074
8.35,1058
8.6,1043
8.85,1028
9.1,1015
9.35,1002
9.6,989
9.85,977
10.1,965
10.35,953
10.6,942
10.85,931
11.1,920
11.35,910
11.6,900
11.85,892
12.1,957
12.35,944
12.6,1004
12.85,1001
13.1,1052
13.35,1043
13.6,1146
13.85,1110
14.1,1186
14.35,1162
14.6,1348
14.85,1288
15.1,1598
15.35,1603
15.6,1855
15.85,2100
16.1,2009
16.35,2342
16.6,2804
16.85,2969
17.1,3736
17.35,3580
17.6,3795
17.85,4020
18.1,4064
18.35,9339
18.6,4943
18.85,4338
19.1,4506
19.35,4732
19.6,5530
19.85,5399
20.1,6034
20.35,5708
