Relaxation,Carp_steps
0.1,1540
0.35,1526
0.6,1516
0.85,1507
1.1,1497
1.35,1490
1.6,1481
1.85,1472
2.1,1464
2.35,1456
2.6,1447
2.85,1439
3.1,1430
3.35,1421
3.6,1411
3.85,1404
4.1,1395
4.35,1385
4.6,1376
4.85,1367
5.1,1358
5.35,1349
5.6,1341
5.85,1331
6.1,1322
6.35,1313
6.6,1304
6.85,1294
7.1,1285
7.35,1275
7.6,1265
7.85,1256
8.1,1246
8.35,1235
8.6,1225
8.85,1215
9.1,1205
9.35,1194
9.6,1184
9.85,1173
10.1,1162
10.35,1151
10.6,1140
10.85,1128
11.1,1116
11.35,1105
11.6,1095
11.85,1083
12.1,1073
12.35,1063
12.6,1053
12.85,1043
13.1,1034
13.35,1025
13.6,1016
13.85,1007
14.1,999
14.35,991
14.6,982
14.85,974
15.1,966
15.35,958
15.6,950
15.85,943
16.1,936
16.35,929
16.6,922
16.85,915
17.1,908
17.35,902
17.6,896
17.85,890
18.1,884
18.35,877
18.6,872
18.85,866
19.1,861
19.35,855
19.6,850
19.85,845
20.1,842
20.35,838
20.6,836
20.85,833
21.1,831
21.35,832
21.6,876
21.85,960
22.1,1042
22.35,1123
22.6,1278
22.85,1268
23.1,1306
23.35,1390
23.6,1335
23.85,1389
