Relaxation,Carp_steps
0.1,363
0.35,359
0.6,356
0.85,354
1.1,351
1.35,348
1.6,345
1.85,343
2.1,340
2.35,337
2.6,335
2.85,331
3.1,329
3.35,325
3.6,323
3.85,320
4.1,317
4.35,314
4.6,311
4.85,308
5.1,305
5.35,302
5.6,298
5.85,296
6.1,292
6.35,289
6.6,286
6.85,282
7.1,279
7.35,275
7.6,271
7.85,268
8.1,264
8.35,261
8.6,257
8.85,254
9.1,251
9.35,248
9.6,246
9.85,242
10.1,239
10.35,237
10.6,234
10.85,231
11.1,228
11.35,226
11.6,223
11.85,221
12.1,219
12.35,217
12.6,214
12.85,213
13.1,211
13.35,216
13.6,222
13.85,221
14.1,216
14.35,215
14.6,214
14.85,213
15.1,211
15.35,208
15.6,209
15.85,231
16.1,255
16.35,262
16.6,267
16.85,262
17.1,284
17.35,305
17.6,300
17.85,322
18.1,347
18.35,366
18.6,372
18.85,376
19.1,401
19.35,402
19.6,428
19.85,414
20.1,413
20.35,453
20.6,442
20.85,484
21.1,470
21.35,487
21.6,509
21.85,547
22.1,567
22.35,561
22.6,558
22.85,593
23.1,600
23.35,582
23.6,633
23.85,622
24.1,657
24.35,668
24.6,673
24.85,705
25.1,746
25.35,959
25.6,747
25.85,774
26.1,774
26.35,817
26.6,891
26.85,882
27.1,947
27.35,913
27.6,978
27.85,941
28.1,938
28.35,954
28.6,995
28.85,953
29.1,998
29.35,1102
29.6,1075
29.85,1042
