Relaxation,Carp_steps
0.1,319
0.35,312
0.6,304
0.85,299
1.1,291
1.35,285
1.6,277
1.85,270
2.1,262
2.35,254
2.6,246
2.85,237
3.1,228
3.35,221
3.6,214
3.85,207
4.1,201
4.35,195
4.6,190
4.85,185
5.1,185
5.35,191
5.6,206
5.85,217
6.1,237
6.35,275
6.6,297
6.85,309
7.1,328
7.35,353
7.6,395
7.85,401
8.1,436
8.35,450
8.6,578
8.85,583
9.1,611
9.35,652
9.6,704
9.85,833
10.1,915
10.35,919
10.6,983
10.85,1427
11.1,946
11.35,1010
11.6,1104
11.85,1536
12.1,1323
12.35,1197
12.6,1112
12.85,1180
13.1,1190
13.35,1166
13.6,1439
13.85,1255
14.1,1301
14.35,1365
