Relaxation,Carp_steps
0.1,1444
0.35,1433
0.6,1424
0.85,1415
1.1,1407
1.35,1399
1.6,1391
1.85,1383
2.1,1375
2.35,1366
2.6,1358
2.85,1350
3.1,1341
3.35,1334
3.6,1324
3.85,1317
4.1,1309
4.35,1300
4.6,1293
4.85,1285
5.1,1276
5.35,1267
5.6,1258
5.85,1250
6.1,1241
6.35,1233
6.6,1223
6.85,1215
7.1,1206
7.35,1197
7.6,1188
7.85,1178
8.1,1169
8.35,1160
8.6,1150
8.85,1141
9.1,1131
9.35,1122
9.6,1112
9.85,1101
10.1,1091
10.35,1082
10.6,1071
10.85,1060
11.1,1049
11.35,1039
11.6,1028
11.85,1018
12.1,1009
12.35,999
12.6,990
12.85,981
13.1,972
13.35,964
13.6,956
13.85,948
14.1,940
14.35,932
14.6,924
14.85,917
15.1,909
15.35,902
15.6,895
15.85,888
16.1,882
16.35,875
16.6,868
16.85,862
17.1,856
17.35,850
17.6,844
17.85,838
18.1,833
18.35,828
18.6,822
18.85,816
19.1,812
19.35,806
19.6,802
19.85,797
20.1,792
20.35,788
20.6,783
20.85,779
21.1,773
21.35,770
21.6,823
21.85,880
22.1,978
22.35,1036
22.6,1318
22.85,1186
23.1,1171
23.35,1242
23.6,1251
23.85,1241
24.1,1278
24.35,1414
24.6,1569
24.85,1476
25.1,1460
25.35,1701
25.6,1728
25.85,1766
26.1,1908
26.35,1939
26.6,1988
26.85,1827
27.1,2028
27.35,2034
27.6,2196
27.85,2145
28.1,2128
28.35,2189
28.6,2367
28.85,2218
29.1,2426
29.35,2399
29.6,2358
29.85,2963
