Relaxation,Carp_steps
0.1,6851
0.35,6771
0.6,6697
0.85,6621
1.1,6550
1.35,6477
1.6,6401
1.85,6328
2.1,6253
2.35,6177
2.6,6099
2.85,6023
3.1,5943
3.35,5863
3.6,5783
3.85,5701
4.1,5617
4.35,5531
4.6,5446
4.85,5358
5.1,5270
5.35,5179
5.6,5085
5.85,4990
6.1,4896
6.35,4806
6.6,4718
6.85,4635
7.1,4555
7.35,4479
7.6,4406
7.85,4336
8.1,4269
8.35,4205
8.6,4144
8.85,4085
9.1,4029
9.35,3976
9.6,3924
9.85,3874
10.1,3826
10.35,3780
10.6,3735
10.85,3691
11.1,3650
11.35,3609
11.6,4687
11.85,4596
12.1,5756
12.35,6364
12.6,6323
12.85,8187
13.1,7188
13.35,8930
13.6,9195
13.85,9834
14.1,12926
14.35,14721
14.6,14971
14.85,21737
15.1,19083
15.35,26484
15.6,27239
