Relaxation,Carp_steps
0.1,89
0.35,88
0.6,88
0.85,88
1.1,87
1.35,87
1.6,87
1.85,87
2.1,87
2.35,87
2.6,86
2.85,86
3.1,85
3.35,85
3.6,84
3.85,83
4.1,83
4.35,83
4.6,82
4.85,81
5.1,81
5.35,81
5.6,80
5.85,80
6.1,79
6.35,79
6.6,78
6.85,77
7.1,76
7.35,75
7.6,74
7.85,74
8.1,74
8.35,73
8.6,73
8.85,72
9.1,71
9.35,70
9.6,69
9.85,69
10.1,68
10.35,67
10.6,66
10.85,65
11.1,65
11.35,64
11.6,63
11.85,63
12.1,62
12.35,62
12.6,61
12.85,61
13.1,61
13.35,61
13.6,62
13.85,63
14.1,63
14.35,67
14.6,66
14.85,67
15.1,68
15.35,68
15.6,68
15.85,69
16.1,70
16.35,70
16.6,69
16.85,71
17.1,69
17.35,72
17.6,72
17.85,73
18.1,78
18.35,83
18.6,80
18.85,80
19.1,80
19.35,83
19.6,85
19.85,85
20.1,87
20.35,90
20.6,90
20.85,88
21.1,91
21.35,100
21.6,99
21.85,98
22.1,101
22.35,103
22.6,101
22.85,105
23.1,108
23.35,106
23.6,108
23.85,110
24.1,113
24.35,116
24.6,121
24.85,116
25.1,118
25.35,121
25.6,121
25.85,121
26.1,121
26.35,127
26.6,123
26.85,122
27.1,128
27.35,123
27.6,127
27.85,124
28.1,126
28.35,124
28.6,125
28.85,125
29.1,127
29.35,130
29.6,130
29.85,135
