Relaxation,Carp_steps
0.1,1825
0.35,1804
0.6,1787
0.85,1770
1.1,1752
1.35,1735
1.6,1717
1.85,1701
2.1,1681
2.35,1665
2.6,1647
2.85,1629
3.1,1611
3.35,1592
3.6,1574
3.85,1556
4.1,1537
4.35,1518
4.6,1498
4.85,1478
5.1,1458
5.35,1438
5.6,1417
5.85,1396
6.1,1374
6.35,1352
6.6,1331
6.85,1309
7.1,1288
7.35,1268
7.6,1249
7.85,1230
8.1,1211
8.35,1194
8.6,1176
8.85,1160
9.1,1144
9.35,1129
9.6,1115
9.85,1101
10.1,1088
10.35,1075
10.6,1062
10.85,1050
11.1,1038
11.35,1026
11.6,1016
11.85,1080
12.1,1085
12.35,1068
12.6,1139
12.85,1200
13.1,1207
13.35,1180
13.6,1291
13.85,1259
14.1,1365
14.35,1343
14.6,1495
14.85,1488
15.1,2399
15.35,1889
15.6,2058
15.85,2223
