Relaxation,Carp_steps
0.1,88
0.35,87
0.6,87
0.85,87
1.1,87
1.35,85
1.6,85
1.85,85
2.1,84
2.35,84
2.6,84
2.85,84
3.1,83
3.35,82
3.6,82
3.85,82
4.1,82
4.35,81
4.6,81
4.85,80
5.1,79
5.35,79
5.6,79
5.85,78
6.1,77
6.35,77
6.6,76
6.85,75
7.1,74
7.35,74
7.6,73
7.85,72
8.1,72
8.35,71
8.6,71
8.85,70
9.1,69
9.35,68
9.6,67
9.85,66
10.1,65
10.35,65
10.6,64
10.85,63
11.1,62
11.35,62
11.6,61
11.85,61
12.1,60
12.35,59
12.6,59
12.85,58
13.1,58
13.35,57
13.6,58
13.85,58
14.1,58
14.35,59
14.6,59
14.85,59
15.1,61
15.35,64
15.6,65
15.85,68
16.1,66
16.35,67
16.6,67
16.85,66
17.1,67
17.35,70
17.6,68
17.85,70
18.1,73
18.35,78
18.6,75
18.85,77
19.1,74
19.35,75
19.6,78
19.85,81
20.1,81
20.35,81
20.6,81
20.85,84
21.1,83
21.35,87
21.6,93
21.85,92
22.1,92
22.35,93
22.6,94
22.85,99
23.1,104
23.35,103
23.6,105
23.85,102
24.1,106
24.35,108
24.6,109
24.85,111
25.1,110
25.35,116
25.6,112
25.85,115
26.1,118
26.35,119
26.6,122
26.85,115
27.1,118
27.35,119
27.6,123
27.85,125
28.1,121
28.35,126
28.6,131
28.85,159
29.1,124
29.35,127
29.6,124
29.85,129
