Relaxation,Carp_steps
0.025,16
0.05,16
0.075,16
0.1,16
0.125,16
0.15,16
0.175,16
0.2,16
0.225,16
0.25,16
0.275,16
0.3,16
0.325,16
0.35,16
0.375,15
0.4,15
0.425,15
0.45,15
0.475,14
0.5,14
0.525,14
0.55,13
0.575,13
0.6,13
0.625,13
0.65,12
0.675,12
0.7,12
0.725,12
0.75,12
0.775,12
0.8,12
0.825,12
0.85,12
0.875,12
0.9,12
0.925,12
0.95,12
0.975,12
1,13
1.025,13
1.05,13
1.075,13
1.1,13
1.125,14
1.15,14
1.175,15
1.2,15
1.225,14
1.25,16
1.275,16
1.3,17
1.325,16
1.35,17
1.375,16
1.4,17
1.425,17
1.45,17
1.475,17
1.5,17
1.525,17
1.55,17
1.575,17
1.6,17
1.625,17
1.65,17
1.675,17
1.7,17
1.725,17
1.75,17
1.775,17
1.8,17
1.825,17
1.85,17
1.875,17
1.9,17
1.925,18
1.95,18
1.975,17
2,17
2.025,17
2.05,17
2.075,18
2.1,18
2.125,18
2.15,20
2.175,17
2.2,18
2.225,18
2.25,21
2.275,18
2.3,18
2.325,18
2.35,18
2.375,18
2.4,18
2.425,20
2.45,18
2.475,18
2.5,18
2.525,18
2.55,18
2.575,18
2.6,18
2.625,18
2.65,18
2.675,18
2.7,18
2.725,19
2.75,19
2.775,20
2.8,21
2.825,18
2.85,20
2.875,19
2.9,18
2.925,18
2.95,18
2.975,18
3,18
