Relaxation,Carp_steps
0.1,26188
0.35,26001
0.6,25828
0.85,25661
1.1,25491
1.35,25322
1.6,25152
1.85,24981
2.1,24813
2.35,24638
2.6,24462
2.85,24288
3.1,24115
3.35,23936
3.6,23756
3.85,23576
4.1,23395
4.35,23213
4.6,23028
4.85,22843
5.1,22658
5.35,22470
5.6,22279
5.85,22087
6.1,21894
6.35,21700
6.6,21502
6.85,21304
7.1,21104
7.35,20902
7.6,20698
7.85,20491
8.1,20283
8.35,20072
8.6,19859
8.85,19643
9.1,19425
9.35,19204
9.6,18981
9.85,18754
10.1,18527
10.35,18305
10.6,18090
10.85,17882
11.1,17680
11.35,17486
11.6,17297
11.85,17115
12.1,16938
12.35,16767
12.6,16601
12.85,16439
13.1,16282
13.35,16130
13.6,15981
13.85,15837
14.1,15696
14.35,15559
14.6,15426
14.85,15296
15.1,15169
15.35,15045
15.6,14925
15.85,14807
16.1,14691
16.35,14579
16.6,14469
16.85,14361
17.1,14256
17.35,14153
17.6,14052
17.85,13954
18.1,13857
18.35,13763
18.6,13670
18.85,13579
19.1,13491
19.35,13403
