Relaxation,Carp_steps
0.1,6300
0.35,6254
0.6,6214
0.85,6175
1.1,6136
1.35,6097
1.6,6057
1.85,6018
2.1,5980
2.35,5941
2.6,5901
2.85,5862
3.1,5822
3.35,5782
3.6,5742
3.85,5702
4.1,5660
4.35,5619
4.6,5578
4.85,5536
5.1,5495
5.35,5452
5.6,5409
5.85,5367
6.1,5324
6.35,5280
6.6,5236
6.85,5192
7.1,5147
7.35,5101
7.6,5056
7.85,5010
8.1,4963
8.35,4917
8.6,4869
8.85,4821
9.1,4772
9.35,4723
9.6,4674
9.85,4623
10.1,4572
10.35,4520
10.6,4469
10.85,4418
11.1,4370
11.35,4322
11.6,4277
11.85,4232
12.1,4189
12.35,4148
12.6,4107
12.85,4068
13.1,4030
13.35,3993
13.6,3956
13.85,3921
14.1,3886
14.35,3853
14.6,3820
14.85,3788
15.1,3757
15.35,3726
15.6,3696
15.85,3668
16.1,3639
16.35,3611
16.6,3584
16.85,3558
17.1,3532
17.35,3507
17.6,3482
17.85,3458
18.1,3434
18.35,3411
18.6,3388
18.85,3366
19.1,3344
19.35,3322
19.6,3301
19.85,3280
20.1,3260
20.35,3855
20.6,4358
20.85,3996
21.1,5169
21.35,5521
21.6,7757
21.85,8473
22.1,8648
22.35,10162
22.6,12037
22.85,11125
23.1,15692
