Relaxation,Carp_steps
0.1,7816
0.35,7709
0.6,7627
0.85,7542
1.1,7459
1.35,7377
1.6,7291
1.85,7206
2.1,7120
2.35,7033
2.6,6947
2.85,6856
3.1,6765
3.35,6674
3.6,6583
3.85,6489
4.1,6393
4.35,6297
4.6,6198
4.85,6098
5.1,5997
5.35,5892
5.6,5785
5.85,5676
6.1,5569
6.35,5466
6.6,5367
6.85,5271
7.1,5181
7.35,5094
7.6,5011
7.85,4931
8.1,4856
8.35,4783
8.6,4713
8.85,4646
9.1,4582
9.35,4521
9.6,4462
9.85,4406
10.1,4351
10.35,4298
10.6,4247
10.85,4198
11.1,4151
11.35,4105
11.6,5120
11.85,5615
12.1,6634
12.35,7536
12.6,7291
12.85,8584
13.1,8619
