Relaxation,Carp_steps
0.1,16
0.35,16
0.6,16
0.85,16
1.1,16
1.35,16
1.6,16
1.85,16
2.1,16
2.35,16
2.6,16
2.85,16
3.1,16
3.35,16
3.6,16
3.85,15
4.1,15
4.35,14
4.6,14
4.85,14
5.1,14
5.35,13
5.6,13
5.85,13
6.1,13
6.35,13
6.6,12
6.85,12
7.1,12
7.35,13
7.6,13
7.85,13
8.1,13
8.35,14
8.6,14
8.85,14
9.1,14
9.35,16
9.6,16
9.85,16
10.1,17
10.35,17
10.6,17
10.85,17
11.1,17
11.35,17
11.6,17
11.85,17
12.1,17
12.35,17
12.6,17
12.85,17
13.1,17
13.35,17
13.6,17
13.85,17
14.1,17
14.35,17
14.6,17
14.85,19
15.1,17
15.35,18
15.6,18
15.85,17
16.1,18
16.35,18
16.6,18
16.85,18
17.1,21
17.35,18
17.6,18
17.85,19
18.1,21
18.35,18
18.6,18
18.85,18
19.1,18
19.35,19
19.6,19
19.85,18
20.1,18
20.35,18
20.6,20
20.85,19
21.1,19
21.35,19
21.6,20
21.85,21
22.1,22
22.35,21
22.6,21
22.85,22
23.1,20
23.35,18
23.6,18
23.85,18
24.1,19
24.35,19
24.6,19
24.85,19
25.1,18
25.35,18
25.6,18
25.85,20
26.1,17
26.35,17
26.6,18
26.85,18
27.1,18
27.35,18
27.6,17
27.85,18
28.1,18
28.35,18
28.6,18
28.85,17
29.1,18
29.35,18
29.6,17
29.85,17
